experiment,run_id,method,target,input_variant,scale_percent,repetition,D,D_regular,D_exception,D_exception_detection_f1,D_root_cause_macro_jaccard,D_exception_disposition_accuracy,D_passed,D_applicable,D_NA,N,N_passed,N_applicable,N_NA,E,EICPI_core_0_100,record_count,seconds_per_record,method_boundary_status,method_boundary_failures,method_boundary_warnings
B,B-B0-IND-HUM,expert_led,INDUSTRIAL,B0,100,,0.47897594077729794,0.9579518815545959,0.0,0.0,,0.31906614785992216,39634,42602,70240,0.7247879236655105,55792,76977,38720,,,4046,11.52,not_applicable,[],[]
B,B-B0-POW-DET,deterministic_program,POWER,B0,100,1,0.4386324894248374,0.8772649788496748,0.0,0.8695652173913044,0.0,0.46511627906976744,15535,18176,464,0.8857808857808858,10260,11583,5378,,,615,0.013267761247130338,not_applicable,[],[]
B,B-B0-POW-FULL,full,POWER,B0,100,1,1.0,1.0,1.0,1.0,1.0,1.0,17974,17974,464,1.0,12532,12532,4430,,,615,0.138072998034181,pass,[],"[""NONEXISTENT_TOOL_CALL_NOT_EXECUTED""]"
B,B-B0-POW-GEN,generic_tool_agent,POWER,B0,100,1,0.12806995391123177,0.25613990782246354,0.0,0.007692307692307692,0.0,0.43023255813953487,5597,17976,464,0.6841798985784354,8230,12029,6748,,,615,1.8972378014910558,pass,[],[]
B,B-B0-POW-HUM,expert_led,POWER,B0,100,,0.41545068819207287,0.8309013763841457,0.0,0.0,,0.011627906976744186,8056,11798,6640,0.3789376158122298,3681,9714,8487,,,615,11.52,not_applicable,[],[]
B,B-S1-IND-GEN,generic_tool_agent,INDUSTRIAL,S1,100,1,0.29412561921674923,0.5882512384334985,0.0,0.0,,0.10894941634241245,63863,109069,3775,0.79106827010147,93475,118163,11994,,,4046,0.31934963725481363,pass,[],[]
B,B-S1-IND-FULL,full,INDUSTRIAL,S1,100,1,1.0,1.0,1.0,1.0,1.0,1.0,109067,109067,3775,1.0,110573,110573,2588,,,4046,0.030931045878645185,pass,[],[]
B,B-S1-IND-DET,deterministic_program,INDUSTRIAL,S1,100,1,0.0,0.0,0.0,0.11945154543341854,0.0,0.0,0,113113,3775,0.0,0,36414,72828,,,4046,0.00014419374073999675,not_applicable,[],[]
B,B-S1-IND-HUM,expert_led,INDUSTRIAL,S1,100,,0.47897594077729794,0.9579518815545959,0.0,0.0,,0.31906614785992216,39634,42602,70240,0.7247879236655105,55792,76977,38720,,,4046,11.52,not_applicable,[],[]
B,B-S1-POW-FULL,full,POWER,S1,100,1,1.0,1.0,1.0,1.0,1.0,1.0,17974,17974,464,1.0,12532,12532,4430,,,615,0.12280711307648448,pass,[],[]
B,B-S1-POW-GEN,generic_tool_agent,POWER,S1,100,1,0.1277858450659764,0.2555716901319528,0.0,0.6229508196721312,0.2918353576248313,0.937984496124031,5911,18581,464,0.1351640944990754,7821,57863,6844,,,615,2.39494001111063,pass,[],[]
B,B-S1-POW-DET,deterministic_program,POWER,S1,100,1,0.0,0.0,0.0,0.5910652920962199,0.0,0.0,0,18589,464,0.0,0,5535,11070,,,615,0.0009395644976378881,not_applicable,[],[]
B,B-S1-POW-HUM,expert_led,POWER,S1,100,,0.41545068819207287,0.8309013763841457,0.0,0.0,,0.011627906976744186,8056,11798,6640,0.37883467160798845,3680,9714,8487,,,615,11.52,not_applicable,[],[]
B,B-S2-IND-GEN,generic_tool_agent,INDUSTRIAL,S2,100,1,0.3183054491073932,0.6366108982147864,0.0,0.06521739130434782,0.4444444444444444,0.45525291828793774,69393,109082,3775,0.8478327312053792,108186,127603,2636,,,4046,0.36311470285466657,pass,[],[]
B,B-S2-IND-DET,deterministic_program,INDUSTRIAL,S2,100,1,0.0,0.0,0.0,0.11945154543341854,0.0,0.0,0,113113,3775,0.0,0,36414,72828,,,4046,0.00014302661071634597,not_applicable,[],[]
B,B-S2-IND-FULL,full,INDUSTRIAL,S2,100,1,1.0,1.0,1.0,1.0,1.0,1.0,109067,109067,3775,1.0,110573,110573,2588,,,4046,0.02695513008725696,pass,[],[]
B,B-S2-IND-HUM,expert_led,INDUSTRIAL,S2,100,,0.47897594077729794,0.9579518815545959,0.0,0.0,,0.31906614785992216,39634,42602,70240,0.7247879236655105,55792,76977,38720,,,4046,11.52,not_applicable,[],[]
B,B-S2-POW-GEN,generic_tool_agent,POWER,S2,100,1,0.2942563987143532,0.5846960035355767,0.003816793893129771,0.022641509433962263,0.3333333333333333,0.1821705426356589,9581,17980,464,0.17577771066143158,10476,59598,5102,,,615,2.2074138789966784,fail,"[""GENERIC_ACCESSED_PATH_OUTSIDE_RUN_PACKAGE""]",[]
