parameter_id,process,activity_fuel,pollutant,value,unit,source_section,physical_pdf_page
E1-SNCR-NH3,脱硝烟气-选择性非催化还原,煤,NH3,0.17,g/kg煤,附录E 表E.1（烟气脱硝行）,50
E1-SCR-NH3,脱硝烟气-选择性催化还原,煤,NH3,0.16,g/kg煤,附录E 表E.1（烟气脱硝行）,50
