source_id,target,human_scope_decision,human_workbook_row,mapping_method,raw_base102_row,raw_base102_sequence,inventory_year,pseudonymous_entity_id,industry_code,target_equipment_value,enterprise_master_present,enterprise_control_row_count
SRC-RAW-6F08F34F83FFCD505F03,INDUSTRIAL,include,1335,exact_semantic_signature_order,1713,21,2022,CREDIT-49DC601F0CA7,1713,燃气锅炉,True,1
SRC-RAW-16F6A5E92A35AFD49162,INDUSTRIAL,include,1336,exact_semantic_signature_order,1714,21,2022,CREDIT-C15CBCB3748D,2720,燃气轮机,True,6
SRC-RAW-ACC149BD59A41456CAFA,INDUSTRIAL,include,1337,exact_semantic_signature_order,1715,22,2022,CREDIT-C15CBCB3748D,2720,燃气轮机,True,6
SRC-RAW-82FE9618A5A941372F41,INDUSTRIAL,include,1338,exact_semantic_signature_order,1716,21,2022,CREDIT-8F07287D0210,2740,燃气锅炉,True,0
SRC-RAW-456643273FD031A94D74,INDUSTRIAL,include,1339,exact_semantic_signature_order,1717,22,2022,CREDIT-8F07287D0210,2740,燃气锅炉,True,0
SRC-RAW-2525498747B6B2366693,INDUSTRIAL,include,1340,exact_semantic_signature_order,1718,23,2022,CREDIT-8F07287D0210,2740,燃气锅炉,True,0
SRC-RAW-1B0DC00D88BFD2E8C11B,INDUSTRIAL,include,1341,exact_semantic_signature_order,1719,21,2022,CREDIT-9193FD5BCB08,1819,燃油锅炉,True,0
SRC-RAW-DEBF4F2757CBAFE1F5CB,INDUSTRIAL,include,1342,exact_semantic_signature_order,1720,21,2022,CREDIT-27BE3C48209F,1453,燃气锅炉,True,0
SRC-RAW-548C8BF52432EA44AA20,INDUSTRIAL,include,1343,exact_semantic_signature_order,1721,21,2022,CREDIT-B42D1C690B99,1723,燃气锅炉,True,0
SRC-RAW-EB5F94FD85EE0659CD5E,INDUSTRIAL,not_selected_for_target,,absence_from_expert_target_workbook,1722,21,2022,CREDIT-006D1C386E95,2924,燃生物质锅炉,True,3
SRC-RAW-ED14043F96AA04349B86,INDUSTRIAL,include,1344,exact_semantic_signature_order,1723,21,2022,CREDIT-D1B51666C433,1519,燃气锅炉,True,0
SRC-RAW-424B62172DDC93D5CAEA,INDUSTRIAL,include,1345,exact_semantic_signature_order,1724,21,2022,CREDIT-8FEBCF68569E,1712,燃气锅炉,True,1
SRC-RAW-395632416A630ED7B908,INDUSTRIAL,not_selected_for_target,,absence_from_expert_target_workbook,1725,22,2022,CREDIT-8FEBCF68569E,1712,燃生物质锅炉,True,1
SRC-RAW-3BABF5163FFD828E9AA6,INDUSTRIAL,include,1346,exact_semantic_signature_order,1726,21,2022,CREDIT-FB0747794802,1492,燃气锅炉,True,0
SRC-RAW-D68FAF073F4746199DEC,INDUSTRIAL,include,1347,exact_semantic_signature_order,1727,22,2022,CREDIT-FB0747794802,1492,燃气锅炉,True,0
SRC-RAW-7E2CBED8326B9915A843,INDUSTRIAL,include,1348,exact_semantic_signature_order,1728,21,2022,CREDIT-1F7123259804,2669,燃油锅炉,True,3
SRC-RAW-F665790DCD0FC8A67F3A,INDUSTRIAL,not_selected_for_target,,absence_from_expert_target_workbook,1729,21,2022,CREDIT-88C52C518FBF,1361,燃生物质锅炉,True,1
SRC-RAW-D967EBB87AF247CA7820,INDUSTRIAL,not_selected_for_target,,absence_from_expert_target_workbook,1730,21,2022,CREDIT-C5FAD7DE1D2F,2221,燃气锅炉,True,2
SRC-RAW-FF9EB77F49B753304084,INDUSTRIAL,not_selected_for_target,,absence_from_expert_target_workbook,1731,21,2022,CREDIT-54766289021A,1819,燃生物质锅炉,True,3
SRC-RAW-A7A5921F7A7EFC5BDD77,INDUSTRIAL,include,1349,exact_semantic_signature_order,1732,21,2022,CREDIT-23C9F0AA2A39,2921,燃气锅炉,True,0
SRC-RAW-823400C5DFA645180114,INDUSTRIAL,include,1350,exact_semantic_signature_order,1733,21,2022,CREDIT-568970072200,1761,燃气锅炉,True,0
SRC-RAW-F7400186FA7B4D1BD87A,INDUSTRIAL,include,1351,exact_semantic_signature_order,1734,21,2022,CREDIT-AD9A986B3088,1371,燃气锅炉,True,0
SRC-RAW-A985ACCCBED3F355FF2F,INDUSTRIAL,not_selected_for_target,,absence_from_expert_target_workbook,1735,21,2022,CREDIT-C1B6D37BFAC6,1723,燃生物质锅炉,True,2
SRC-RAW-C821EE7BD3B586502DAF,INDUSTRIAL,not_selected_for_target,,absence_from_expert_target_workbook,1736,21,2022,CREDIT-9E3A2BBE2F68,2924,燃生物质锅炉,True,2
SRC-RAW-31876F7B1B5A1F83ADCF,INDUSTRIAL,include,1352,exact_semantic_signature_order,1737,21,2022,CREDIT-31BC1FEE93F3,2761,燃气锅炉,True,0
SRC-RAW-BCB0410FDE1D2068C033,INDUSTRIAL,include,1353,exact_semantic_signature_order,1738,22,2022,CREDIT-31BC1FEE93F3,2761,燃气锅炉,True,0
SRC-RAW-98A00F2B6AF1D22FE90B,INDUSTRIAL,include,1354,exact_semantic_signature_order,1739,21,2022,ORG-248991A83676,1462,燃油锅炉,True,1
SRC-RAW-41CCCA9FFBBEAF2BA0B6,INDUSTRIAL,include,1355,exact_semantic_signature_order,1740,21,2022,CREDIT-0983F6851470,2740,燃气锅炉,True,1
SRC-RAW-06F06924BCADDB6AC130,INDUSTRIAL,include,1356,exact_semantic_signature_order,1741,22,2022,CREDIT-0983F6851470,2740,燃气锅炉,True,1
SRC-RAW-FE6A36E2E0549341A7B2,INDUSTRIAL,not_selected_for_target,,absence_from_expert_target_workbook,1742,21,2022,CREDIT-7F3BAC859267,2662,燃生物质锅炉,True,3
SRC-RAW-204DA4EAB1F4D34E814F,INDUSTRIAL,include,1357,exact_semantic_signature_order,1743,21,2022,CREDIT-09DF75F2A61C,1819,燃油锅炉,True,0
SRC-RAW-BB68346CF43A324DCD59,INDUSTRIAL,include,1358,exact_semantic_signature_order,1744,21,2022,CREDIT-4CB0AE8EE501,2319,燃油锅炉,True,3
SRC-RAW-5E3B8D631E81B6311CAE,INDUSTRIAL,include,1359,exact_semantic_signature_order,1745,21,2022,CREDIT-976C4A85DEB2,2319,燃油锅炉,True,1
SRC-RAW-EAACBE6746E91EC71831,INDUSTRIAL,include,1360,exact_semantic_signature_order,1746,21,2022,CREDIT-2DD1F776B3BB,1432,燃气锅炉,True,0
SRC-RAW-8E8CF0952C346597712B,INDUSTRIAL,include,1361,exact_semantic_signature_order,1747,21,2022,CREDIT-20AB7B7C5CA2,1371,燃油锅炉,True,0
SRC-RAW-652A3588E0500FA7EDEE,INDUSTRIAL,include,1362,exact_semantic_signature_order,1748,22,2022,CREDIT-20AB7B7C5CA2,1371,燃油锅炉,True,0
SRC-RAW-A8993747D7F7B9F71136,INDUSTRIAL,include,1363,exact_semantic_signature_order,1749,21,2022,CREDIT-ED223748B0FB,1432,燃气锅炉,True,0
SRC-RAW-6DBB030A322BF8BE4A1D,INDUSTRIAL,include,1364,exact_semantic_signature_order,1750,21,2022,CREDIT-81E7685415C1,1782,燃气锅炉,True,0
