parameter_id,sector,department,fuel,combustion_technology,pollutant,mode,value,unit,capacity_condition,source_section,physical_pdf_page
D-EP-GANGUE-NA-PM10,电力热力源,电力生产,煤矸石,不分技术,PM10,coal_particle_balance,,,,附录D 表D.1,43
D-EP-GANGUE-NA-BC,电力热力源,电力生产,煤矸石,不分技术,BC,coal_particle_balance,,,,附录D 表D.1,43
D-EP-GANGUE-NA-OC,电力热力源,电力生产,煤矸石,不分技术,OC,coal_particle_balance,,,,附录D 表D.1,43
D-EP-OTHCOKE-NA-CO,电力热力源,电力生产,其它焦化产品,不分技术,CO,constant,0,g/kg燃料,,附录D 表D.1,43
D-EP-OTHCOKE-NA-NOX,电力热力源,电力生产,其它焦化产品,不分技术,NOX,constant,10.06,g/kg燃料,,附录D 表D.1,43
D-EP-OTHCOKE-NA-SO2,电力热力源,电力生产,其它焦化产品,不分技术,SO2,constant,0,g/kg燃料,,附录D 表D.1,43
D-EP-OTHCOKE-NA-VOCS,电力热力源,电力生产,其它焦化产品,不分技术,VOCS,constant,0.04,g/kg燃料,,附录D 表D.1,43
D-EP-OTHCOKE-NA-PM25,电力热力源,电力生产,其它焦化产品,不分技术,PM25,constant,0,g/kg燃料,,附录D 表D.1,43
D-EP-OTHCOKE-NA-PM10,电力热力源,电力生产,其它焦化产品,不分技术,PM10,constant,0,g/kg燃料,,附录D 表D.1,43
D-EP-OTHCOKE-NA-BC,电力热力源,电力生产,其它焦化产品,不分技术,BC,constant,0,g/kg燃料,,附录D 表D.1,43
D-EP-OTHCOKE-NA-OC,电力热力源,电力生产,其它焦化产品,不分技术,OC,constant,0,g/kg燃料,,附录D 表D.1,43
D-EP-COG-GASBOILER-CO,电力热力源,电力生产,焦炉煤气,燃气锅炉,CO,constant,1.3,g/m3,,附录D 表D.1,43
D-EP-COG-GASBOILER-NOX,电力热力源,电力生产,焦炉煤气,燃气锅炉,NOX,constant,1.35,g/m3,,附录D 表D.1,43
D-EP-COG-GASBOILER-SO2,电力热力源,电力生产,焦炉煤气,燃气锅炉,SO2,constant,0,g/m3,,附录D 表D.1,43
D-EP-COG-GASBOILER-VOCS,电力热力源,电力生产,焦炉煤气,燃气锅炉,VOCS,constant,0.02,g/m3,,附录D 表D.1,43
D-EP-COG-GASBOILER-PM25,电力热力源,电力生产,焦炉煤气,燃气锅炉,PM25,constant,0.03,g/m3,,附录D 表D.1,43
D-EP-COG-GASBOILER-PM10,电力热力源,电力生产,焦炉煤气,燃气锅炉,PM10,constant,0.03,g/m3,,附录D 表D.1,43
D-EP-COG-GASBOILER-BC,电力热力源,电力生产,焦炉煤气,燃气锅炉,BC,constant,0,g/m3,,附录D 表D.1,43
D-EP-COG-GASBOILER-OC,电力热力源,电力生产,焦炉煤气,燃气锅炉,OC,constant,0,g/m3,,附录D 表D.1,43
D-EP-BFG-GASBOILER-CO,电力热力源,电力生产,高炉煤气,燃气锅炉,CO,constant,1.3,g/m3,,附录D 表D.1,43
