parameter_id,sector,department,fuel,combustion_technology,pollutant,mode,value,unit,capacity_condition,source_section,physical_pdf_page
D-EP-OTHPET-OILBOILER-VOCS,电力热力源,电力生产,其它石油制品,燃油锅炉,VOCS,constant,0.13,g/kg燃料,,附录D 表D.1,44
D-EP-OTHPET-OILBOILER-PM25,电力热力源,电力生产,其它石油制品,燃油锅炉,PM25,constant,0.62,g/kg燃料,,附录D 表D.1,44
D-EP-OTHPET-OILBOILER-PM10,电力热力源,电力生产,其它石油制品,燃油锅炉,PM10,constant,0.85,g/kg燃料,,附录D 表D.1,44
D-EP-OTHPET-OILBOILER-BC,电力热力源,电力生产,其它石油制品,燃油锅炉,BC,constant,0.04,g/kg燃料,,附录D 表D.1,44
D-EP-OTHPET-OILBOILER-OC,电力热力源,电力生产,其它石油制品,燃油锅炉,OC,constant,0.01,g/kg燃料,,附录D 表D.1,44
D-ES-COAL-PF-CO,电力热力源,电力供应,煤炭,煤粉炉,CO,constant,2,g/kg燃料,,附录D 表D.1,44
D-ES-COAL-PF-NOX,电力热力源,电力供应,煤炭,煤粉炉,NOX,constant,5.47,g/kg燃料,,附录D 表D.1,44
D-ES-COAL-PF-SO2,电力热力源,电力供应,煤炭,煤粉炉,SO2,coal_sulfur_balance,,,,附录D 表D.1,44
D-ES-COAL-PF-VOCS,电力热力源,电力供应,煤炭,煤粉炉,VOCS,constant,2.16,g/kg燃料,,附录D 表D.1,44
D-ES-COAL-PF-PM25,电力热力源,电力供应,煤炭,煤粉炉,PM25,coal_particle_balance,,,,附录D 表D.1,44
D-ES-COAL-PF-PM10,电力热力源,电力供应,煤炭,煤粉炉,PM10,coal_particle_balance,,,,附录D 表D.1,44
D-ES-COAL-PF-BC,电力热力源,电力供应,煤炭,煤粉炉,BC,coal_particle_balance,,,,附录D 表D.1,44
D-ES-COAL-PF-OC,电力热力源,电力供应,煤炭,煤粉炉,OC,coal_particle_balance,,,,附录D 表D.1,44
D-ES-COAL-CFB-CO,电力热力源,电力供应,煤炭,流化床炉,CO,constant,2,g/kg燃料,,附录D 表D.1,44
D-ES-COAL-CFB-NOX,电力热力源,电力供应,煤炭,流化床炉,NOX,constant,7.5,g/kg燃料,,附录D 表D.1,44
D-ES-COAL-CFB-SO2,电力热力源,电力供应,煤炭,流化床炉,SO2,coal_sulfur_balance,,,,附录D 表D.1,44
D-ES-COAL-CFB-VOCS,电力热力源,电力供应,煤炭,流化床炉,VOCS,constant,2.16,g/kg燃料,,附录D 表D.1,44
D-ES-COAL-CFB-PM25,电力热力源,电力供应,煤炭,流化床炉,PM25,coal_particle_balance,,,,附录D 表D.1,44
D-ES-COAL-CFB-PM10,电力热力源,电力供应,煤炭,流化床炉,PM10,coal_particle_balance,,,,附录D 表D.1,44
D-ES-COAL-CFB-BC,电力热力源,电力供应,煤炭,流化床炉,BC,coal_particle_balance,,,,附录D 表D.1,44
D-ES-COAL-CFB-OC,电力热力源,电力供应,煤炭,流化床炉,OC,coal_particle_balance,,,,附录D 表D.1,44
D-ES-COAL-AUTOGRATE-CO,电力热力源,电力供应,煤炭,自动炉排层燃炉,CO,constant,15,g/kg燃料,,附录D 表D.1,44
D-ES-COAL-AUTOGRATE-NOX,电力热力源,电力供应,煤炭,自动炉排层燃炉,NOX,constant,4,g/kg燃料,,附录D 表D.1,44
D-ES-COAL-AUTOGRATE-SO2,电力热力源,电力供应,煤炭,自动炉排层燃炉,SO2,coal_sulfur_balance,,,,附录D 表D.1,44
D-ES-COAL-AUTOGRATE-VOCS,电力热力源,电力供应,煤炭,自动炉排层燃炉,VOCS,constant,2.16,g/kg燃料,,附录D 表D.1,44
D-ES-COAL-AUTOGRATE-PM25,电力热力源,电力供应,煤炭,自动炉排层燃炉,PM25,coal_particle_balance,,,,附录D 表D.1,44
D-ES-COAL-AUTOGRATE-PM10,电力热力源,电力供应,煤炭,自动炉排层燃炉,PM10,coal_particle_balance,,,,附录D 表D.1,44
D-ES-COAL-AUTOGRATE-BC,电力热力源,电力供应,煤炭,自动炉排层燃炉,BC,coal_particle_balance,,,,附录D 表D.1,44
D-ES-COAL-AUTOGRATE-OC,电力热力源,电力供应,煤炭,自动炉排层燃炉,OC,coal_particle_balance,,,,附录D 表D.1,44
D-ES-COAL-MANGRATE-CO,电力热力源,电力供应,煤炭,手动炉排层燃炉,CO,constant,124.3,g/kg燃料,,附录D 表D.1,44
D-ES-COAL-MANGRATE-NOX,电力热力源,电力供应,煤炭,手动炉排层燃炉,NOX,constant,3.8,g/kg燃料,,附录D 表D.1,44
D-ES-COAL-MANGRATE-SO2,电力热力源,电力供应,煤炭,手动炉排层燃炉,SO2,coal_sulfur_balance,,,,附录D 表D.1,44
D-ES-COAL-MANGRATE-VOCS,电力热力源,电力供应,煤炭,手动炉排层燃炉,VOCS,constant,4.53,g/kg燃料,,附录D 表D.1,44
D-ES-COAL-MANGRATE-PM25,电力热力源,电力供应,煤炭,手动炉排层燃炉,PM25,coal_particle_balance,,,,附录D 表D.1,44
D-ES-COAL-MANGRATE-PM10,电力热力源,电力供应,煤炭,手动炉排层燃炉,PM10,coal_particle_balance,,,,附录D 表D.1,44
D-ES-COAL-MANGRATE-BC,电力热力源,电力供应,煤炭,手动炉排层燃炉,BC,coal_particle_balance,,,,附录D 表D.1,44
D-ES-COAL-MANGRATE-OC,电力热力源,电力供应,煤炭,手动炉排层燃炉,OC,coal_particle_balance,,,,附录D 表D.1,44
D-ES-COKE-NA-CO,电力热力源,电力供应,焦炭,不分技术,CO,constant,2,g/kg燃料,,附录D 表D.1,44
D-ES-COKE-NA-NOX,电力热力源,电力供应,焦炭,不分技术,NOX,constant,4,g/kg燃料,,附录D 表D.1,44
D-ES-COKE-NA-SO2,电力热力源,电力供应,焦炭,不分技术,SO2,coal_sulfur_balance,,,,附录D 表D.1,44
D-ES-COKE-NA-VOCS,电力热力源,电力供应,焦炭,不分技术,VOCS,constant,0.04,g/kg燃料,,附录D 表D.1,44
D-ES-COKE-NA-PM25,电力热力源,电力供应,焦炭,不分技术,PM25,coal_particle_balance,,,,附录D 表D.1,44
D-ES-COKE-NA-PM10,电力热力源,电力供应,焦炭,不分技术,PM10,coal_particle_balance,,,,附录D 表D.1,44
D-ES-COKE-NA-BC,电力热力源,电力供应,焦炭,不分技术,BC,coal_particle_balance,,,,附录D 表D.1,44
D-ES-COKE-NA-OC,电力热力源,电力供应,焦炭,不分技术,OC,coal_particle_balance,,,,附录D 表D.1,44
D-ES-OTHCOKE-NA-CO,电力热力源,电力供应,其它焦化产品,不分技术,CO,constant,2,g/kg燃料,,附录D 表D.1,44
D-ES-OTHCOKE-NA-NOX,电力热力源,电力供应,其它焦化产品,不分技术,NOX,constant,5.84,g/kg燃料,,附录D 表D.1,44
D-ES-OTHCOKE-NA-SO2,电力热力源,电力供应,其它焦化产品,不分技术,SO2,constant,0,g/kg燃料,,附录D 表D.1,44
D-ES-OTHCOKE-NA-VOCS,电力热力源,电力供应,其它焦化产品,不分技术,VOCS,constant,0.04,g/kg燃料,,附录D 表D.1,44
D-ES-OTHCOKE-NA-PM25,电力热力源,电力供应,其它焦化产品,不分技术,PM25,constant,0,g/kg燃料,,附录D 表D.1,44
D-ES-OTHCOKE-NA-PM10,电力热力源,电力供应,其它焦化产品,不分技术,PM10,constant,0,g/kg燃料,,附录D 表D.1,44
D-ES-OTHCOKE-NA-BC,电力热力源,电力供应,其它焦化产品,不分技术,BC,constant,0,g/kg燃料,,附录D 表D.1,44
D-ES-OTHCOKE-NA-OC,电力热力源,电力供应,其它焦化产品,不分技术,OC,constant,0,g/kg燃料,,附录D 表D.1,44
D-ES-COG-GASBOILER-CO,电力热力源,电力供应,焦炉煤气,燃气锅炉,CO,constant,1.3,g/m3,,附录D 表D.1,44
D-ES-COG-GASBOILER-NOX,电力热力源,电力供应,焦炉煤气,燃气锅炉,NOX,constant,0.96,g/m3,,附录D 表D.1,44
D-ES-COG-GASBOILER-SO2,电力热力源,电力供应,焦炉煤气,燃气锅炉,SO2,constant,0,g/m3,,附录D 表D.1,44
D-ES-COG-GASBOILER-VOCS,电力热力源,电力供应,焦炉煤气,燃气锅炉,VOCS,constant,0.02,g/m3,,附录D 表D.1,44
D-ES-COG-GASBOILER-PM25,电力热力源,电力供应,焦炉煤气,燃气锅炉,PM25,constant,0.03,g/m3,,附录D 表D.1,44
D-ES-COG-GASBOILER-PM10,电力热力源,电力供应,焦炉煤气,燃气锅炉,PM10,constant,0.03,g/m3,,附录D 表D.1,44
D-ES-COG-GASBOILER-BC,电力热力源,电力供应,焦炉煤气,燃气锅炉,BC,constant,0,g/m3,,附录D 表D.1,44
D-ES-COG-GASBOILER-OC,电力热力源,电力供应,焦炉煤气,燃气锅炉,OC,constant,0,g/m3,,附录D 表D.1,44
D-ES-BFG-GASBOILER-CO,电力热力源,电力供应,高炉煤气,燃气锅炉,CO,constant,1.3,g/m3,,附录D 表D.1,44
D-ES-BFG-GASBOILER-NOX,电力热力源,电力供应,高炉煤气,燃气锅炉,NOX,constant,0.13,g/m3,,附录D 表D.1,44
D-ES-BFG-GASBOILER-SO2,电力热力源,电力供应,高炉煤气,燃气锅炉,SO2,constant,0,g/m3,,附录D 表D.1,44
D-ES-BFG-GASBOILER-VOCS,电力热力源,电力供应,高炉煤气,燃气锅炉,VOCS,constant,0.05,g/m3,,附录D 表D.1,44
D-ES-BFG-GASBOILER-PM25,电力热力源,电力供应,高炉煤气,燃气锅炉,PM25,constant,0.03,g/m3,,附录D 表D.1,44
D-ES-BFG-GASBOILER-PM10,电力热力源,电力供应,高炉煤气,燃气锅炉,PM10,constant,0.03,g/m3,,附录D 表D.1,44
D-ES-BFG-GASBOILER-BC,电力热力源,电力供应,高炉煤气,燃气锅炉,BC,constant,0,g/m3,,附录D 表D.1,44
D-ES-BFG-GASBOILER-OC,电力热力源,电力供应,高炉煤气,燃气锅炉,OC,constant,0,g/m3,,附录D 表D.1,44
D-ES-OTHGAS-GASBOILER-CO,电力热力源,电力供应,其它煤气,燃气锅炉,CO,constant,1.3,g/m3,,附录D 表D.1,44
D-ES-OTHGAS-GASBOILER-NOX,电力热力源,电力供应,其它煤气,燃气锅炉,NOX,constant,0.13,g/m3,,附录D 表D.1,44
D-ES-OTHGAS-GASBOILER-SO2,电力热力源,电力供应,其它煤气,燃气锅炉,SO2,constant,0,g/m3,,附录D 表D.1,44
D-ES-OTHGAS-GASBOILER-VOCS,电力热力源,电力供应,其它煤气,燃气锅炉,VOCS,constant,0.05,g/m3,,附录D 表D.1,44
D-ES-OTHGAS-GASBOILER-PM25,电力热力源,电力供应,其它煤气,燃气锅炉,PM25,constant,0.03,g/m3,,附录D 表D.1,44
D-ES-OTHGAS-GASBOILER-PM10,电力热力源,电力供应,其它煤气,燃气锅炉,PM10,constant,0.03,g/m3,,附录D 表D.1,44
D-ES-OTHGAS-GASBOILER-BC,电力热力源,电力供应,其它煤气,燃气锅炉,BC,constant,0,g/m3,,附录D 表D.1,44
D-ES-OTHGAS-GASBOILER-OC,电力热力源,电力供应,其它煤气,燃气锅炉,OC,constant,0,g/m3,,附录D 表D.1,44
D-ES-NG-GASBOILER-CO,电力热力源,电力供应,天然气,燃气锅炉,CO,constant,1.3,g/m3,,附录D 表D.1,44
D-ES-NG-GASBOILER-NOX,电力热力源,电力供应,天然气,燃气锅炉,NOX,constant,2.09,g/m3,,附录D 表D.1,44
D-ES-NG-GASBOILER-SO2,电力热力源,电力供应,天然气,燃气锅炉,SO2,constant,0,g/m3,,附录D 表D.1,44
D-ES-NG-GASBOILER-VOCS,电力热力源,电力供应,天然气,燃气锅炉,VOCS,constant,0.12,g/m3,,附录D 表D.1,44
D-ES-NG-GASBOILER-PM25,电力热力源,电力供应,天然气,燃气锅炉,PM25,constant,0.03,g/m3,,附录D 表D.1,44
D-ES-NG-GASBOILER-PM10,电力热力源,电力供应,天然气,燃气锅炉,PM10,constant,0.03,g/m3,,附录D 表D.1,44
D-ES-NG-GASBOILER-BC,电力热力源,电力供应,天然气,燃气锅炉,BC,constant,0,g/m3,,附录D 表D.1,44
D-ES-NG-GASBOILER-OC,电力热力源,电力供应,天然气,燃气锅炉,OC,constant,0,g/m3,,附录D 表D.1,44
D-ES-LNG-GASBOILER-CO,电力热力源,电力供应,液化天然气,燃气锅炉,CO,constant,0.36,g/kg燃料,,附录D 表D.1,44
D-ES-LNG-GASBOILER-NOX,电力热力源,电力供应,液化天然气,燃气锅炉,NOX,constant,2.63,g/kg燃料,,附录D 表D.1,44
D-ES-LNG-GASBOILER-SO2,电力热力源,电力供应,液化天然气,燃气锅炉,SO2,constant,0,g/kg燃料,,附录D 表D.1,44
D-ES-LNG-GASBOILER-VOCS,电力热力源,电力供应,液化天然气,燃气锅炉,VOCS,constant,33,g/kg燃料,,附录D 表D.1,44
D-ES-LNG-GASBOILER-PM25,电力热力源,电力供应,液化天然气,燃气锅炉,PM25,constant,0.17,g/kg燃料,,附录D 表D.1,44
D-ES-LNG-GASBOILER-PM10,电力热力源,电力供应,液化天然气,燃气锅炉,PM10,constant,0.17,g/kg燃料,,附录D 表D.1,44
D-ES-LNG-GASBOILER-BC,电力热力源,电力供应,液化天然气,燃气锅炉,BC,constant,0.02,g/kg燃料,,附录D 表D.1,44
D-ES-LNG-GASBOILER-OC,电力热力源,电力供应,液化天然气,燃气锅炉,OC,constant,0.05,g/kg燃料,,附录D 表D.1,44
D-ES-LPG-GASBOILER-CO,电力热力源,电力供应,液化石油气,燃气锅炉,CO,constant,0.36,g/kg燃料,,附录D 表D.1,44
D-ES-LPG-GASBOILER-NOX,电力热力源,电力供应,液化石油气,燃气锅炉,NOX,constant,2.63,g/kg燃料,,附录D 表D.1,44
D-ES-LPG-GASBOILER-SO2,电力热力源,电力供应,液化石油气,燃气锅炉,SO2,constant,0,g/kg燃料,,附录D 表D.1,44
D-ES-LPG-GASBOILER-VOCS,电力热力源,电力供应,液化石油气,燃气锅炉,VOCS,constant,33,g/kg燃料,,附录D 表D.1,44
D-ES-LPG-GASBOILER-PM25,电力热力源,电力供应,液化石油气,燃气锅炉,PM25,constant,0.17,g/kg燃料,,附录D 表D.1,44
D-ES-LPG-GASBOILER-PM10,电力热力源,电力供应,液化石油气,燃气锅炉,PM10,constant,0.17,g/kg燃料,,附录D 表D.1,44
D-ES-LPG-GASBOILER-BC,电力热力源,电力供应,液化石油气,燃气锅炉,BC,constant,0.02,g/kg燃料,,附录D 表D.1,44
D-ES-LPG-GASBOILER-OC,电力热力源,电力供应,液化石油气,燃气锅炉,OC,constant,0.05,g/kg燃料,,附录D 表D.1,44
D-ES-REFGAS-GASBOILER-CO,电力热力源,电力供应,炼厂干气,燃气锅炉,CO,constant,0,g/kg燃料,,附录D 表D.1,44
D-ES-REFGAS-GASBOILER-NOX,电力热力源,电力供应,炼厂干气,燃气锅炉,NOX,constant,0.53,g/kg燃料,,附录D 表D.1,44
D-ES-REFGAS-GASBOILER-SO2,电力热力源,电力供应,炼厂干气,燃气锅炉,SO2,constant,0,g/kg燃料,,附录D 表D.1,44
D-ES-REFGAS-GASBOILER-VOCS,电力热力源,电力供应,炼厂干气,燃气锅炉,VOCS,constant,0,g/kg燃料,,附录D 表D.1,44
D-ES-REFGAS-GASBOILER-PM25,电力热力源,电力供应,炼厂干气,燃气锅炉,PM25,constant,0,g/kg燃料,,附录D 表D.1,44
D-ES-REFGAS-GASBOILER-PM10,电力热力源,电力供应,炼厂干气,燃气锅炉,PM10,constant,0,g/kg燃料,,附录D 表D.1,44
D-ES-REFGAS-GASBOILER-BC,电力热力源,电力供应,炼厂干气,燃气锅炉,BC,constant,0,g/kg燃料,,附录D 表D.1,44
D-ES-REFGAS-GASBOILER-OC,电力热力源,电力供应,炼厂干气,燃气锅炉,OC,constant,0,g/kg燃料,,附录D 表D.1,44
D-ES-CONVGAS-GASBOILER-CO,电力热力源,电力供应,转炉煤气,燃气锅炉,CO,constant,1.3,g/m3,,附录D 表D.1,44
D-ES-CONVGAS-GASBOILER-NOX,电力热力源,电力供应,转炉煤气,燃气锅炉,NOX,constant,0.13,g/m3,,附录D 表D.1,44
D-ES-CONVGAS-GASBOILER-SO2,电力热力源,电力供应,转炉煤气,燃气锅炉,SO2,constant,0,g/m3,,附录D 表D.1,44
D-ES-CONVGAS-GASBOILER-VOCS,电力热力源,电力供应,转炉煤气,燃气锅炉,VOCS,constant,0.05,g/m3,,附录D 表D.1,44
D-ES-CONVGAS-GASBOILER-PM25,电力热力源,电力供应,转炉煤气,燃气锅炉,PM25,constant,0.03,g/m3,,附录D 表D.1,44
D-ES-CONVGAS-GASBOILER-PM10,电力热力源,电力供应,转炉煤气,燃气锅炉,PM10,constant,0.03,g/m3,,附录D 表D.1,44
D-ES-CONVGAS-GASBOILER-BC,电力热力源,电力供应,转炉煤气,燃气锅炉,BC,constant,0,g/m3,,附录D 表D.1,44
D-ES-CONVGAS-GASBOILER-OC,电力热力源,电力供应,转炉煤气,燃气锅炉,OC,constant,0,g/m3,,附录D 表D.1,44
D-ES-OTHFGAS-GASBOILER-CO,电力热力源,电力供应,其它气体燃料,燃气锅炉,CO,constant,1.3,g/m3,,附录D 表D.1,44
D-ES-OTHFGAS-GASBOILER-NOX,电力热力源,电力供应,其它气体燃料,燃气锅炉,NOX,constant,0.13,g/m3,,附录D 表D.1,44
D-ES-OTHFGAS-GASBOILER-SO2,电力热力源,电力供应,其它气体燃料,燃气锅炉,SO2,constant,0,g/m3,,附录D 表D.1,44
D-ES-OTHFGAS-GASBOILER-VOCS,电力热力源,电力供应,其它气体燃料,燃气锅炉,VOCS,constant,0.02,g/m3,,附录D 表D.1,44
D-ES-OTHFGAS-GASBOILER-PM25,电力热力源,电力供应,其它气体燃料,燃气锅炉,PM25,constant,0.03,g/m3,,附录D 表D.1,44
D-ES-OTHFGAS-GASBOILER-PM10,电力热力源,电力供应,其它气体燃料,燃气锅炉,PM10,constant,0.03,g/m3,,附录D 表D.1,44
D-ES-OTHFGAS-GASBOILER-BC,电力热力源,电力供应,其它气体燃料,燃气锅炉,BC,constant,0,g/m3,,附录D 表D.1,44
D-ES-OTHFGAS-GASBOILER-OC,电力热力源,电力供应,其它气体燃料,燃气锅炉,OC,constant,0,g/m3,,附录D 表D.1,44
D-ES-CRUDE-OILBOILER-CO,电力热力源,电力供应,原油,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录D 表D.1,44
D-ES-CRUDE-OILBOILER-NOX,电力热力源,电力供应,原油,燃油锅炉,NOX,constant,5.09,g/kg燃料,,附录D 表D.1,44
D-ES-CRUDE-OILBOILER-SO2,电力热力源,电力供应,原油,燃油锅炉,SO2,constant,0,g/kg燃料,,附录D 表D.1,44
D-ES-CRUDE-OILBOILER-VOCS,电力热力源,电力供应,原油,燃油锅炉,VOCS,constant,0.13,g/kg燃料,,附录D 表D.1,44
D-ES-CRUDE-OILBOILER-PM25,电力热力源,电力供应,原油,燃油锅炉,PM25,constant,0.62,g/kg燃料,,附录D 表D.1,44
D-ES-CRUDE-OILBOILER-PM10,电力热力源,电力供应,原油,燃油锅炉,PM10,constant,0.85,g/kg燃料,,附录D 表D.1,44
D-ES-CRUDE-OILBOILER-BC,电力热力源,电力供应,原油,燃油锅炉,BC,constant,0.04,g/kg燃料,,附录D 表D.1,44
D-ES-CRUDE-OILBOILER-OC,电力热力源,电力供应,原油,燃油锅炉,OC,constant,0.01,g/kg燃料,,附录D 表D.1,44
D-ES-GASOLINE-OILBOILER-CO,电力热力源,电力供应,汽油,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录D 表D.1,44
D-ES-GASOLINE-OILBOILER-NOX,电力热力源,电力供应,汽油,燃油锅炉,NOX,constant,3.67,g/kg燃料,,附录D 表D.1,44
D-ES-GASOLINE-OILBOILER-SO2,电力热力源,电力供应,汽油,燃油锅炉,SO2,constant,0,g/kg燃料,,附录D 表D.1,44
D-ES-GASOLINE-OILBOILER-VOCS,电力热力源,电力供应,汽油,燃油锅炉,VOCS,constant,0.13,g/kg燃料,,附录D 表D.1,44
D-ES-GASOLINE-OILBOILER-PM25,电力热力源,电力供应,汽油,燃油锅炉,PM25,constant,0.62,g/kg燃料,,附录D 表D.1,44
D-ES-GASOLINE-OILBOILER-PM10,电力热力源,电力供应,汽油,燃油锅炉,PM10,constant,0.85,g/kg燃料,,附录D 表D.1,44
D-ES-GASOLINE-OILBOILER-BC,电力热力源,电力供应,汽油,燃油锅炉,BC,constant,0.04,g/kg燃料,,附录D 表D.1,44
D-ES-GASOLINE-OILBOILER-OC,电力热力源,电力供应,汽油,燃油锅炉,OC,constant,0.01,g/kg燃料,,附录D 表D.1,44
D-ES-KEROSENE-OILBOILER-CO,电力热力源,电力供应,煤油,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录D 表D.1,44
D-ES-KEROSENE-OILBOILER-NOX,电力热力源,电力供应,煤油,燃油锅炉,NOX,constant,7.46,g/kg燃料,,附录D 表D.1,44
D-ES-KEROSENE-OILBOILER-SO2,电力热力源,电力供应,煤油,燃油锅炉,SO2,constant,0,g/kg燃料,,附录D 表D.1,44
D-ES-KEROSENE-OILBOILER-VOCS,电力热力源,电力供应,煤油,燃油锅炉,VOCS,constant,0.13,g/kg燃料,,附录D 表D.1,44
D-ES-KEROSENE-OILBOILER-PM25,电力热力源,电力供应,煤油,燃油锅炉,PM25,constant,0.9,g/kg燃料,,附录D 表D.1,44
D-ES-KEROSENE-OILBOILER-PM10,电力热力源,电力供应,煤油,燃油锅炉,PM10,constant,0.9,g/kg燃料,,附录D 表D.1,44
D-ES-KEROSENE-OILBOILER-BC,电力热力源,电力供应,煤油,燃油锅炉,BC,constant,0.01,g/kg燃料,,附录D 表D.1,44
D-ES-KEROSENE-OILBOILER-OC,电力热力源,电力供应,煤油,燃油锅炉,OC,constant,0.09,g/kg燃料,,附录D 表D.1,44
D-ES-DIESEL-OILBOILER-CO,电力热力源,电力供应,柴油,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录D 表D.1,44
D-ES-DIESEL-OILBOILER-NOX,电力热力源,电力供应,柴油,燃油锅炉,NOX,constant,9.62,g/kg燃料,,附录D 表D.1,44
D-ES-DIESEL-OILBOILER-SO2,电力热力源,电力供应,柴油,燃油锅炉,SO2,constant,3,g/kg燃料,,附录D 表D.1,44
D-ES-DIESEL-OILBOILER-VOCS,电力热力源,电力供应,柴油,燃油锅炉,VOCS,constant,0.13,g/kg燃料,,附录D 表D.1,44
D-ES-DIESEL-OILBOILER-PM25,电力热力源,电力供应,柴油,燃油锅炉,PM25,constant,0.5,g/kg燃料,,附录D 表D.1,44
D-ES-DIESEL-OILBOILER-PM10,电力热力源,电力供应,柴油,燃油锅炉,PM10,constant,0.5,g/kg燃料,,附录D 表D.1,44
D-ES-DIESEL-OILBOILER-BC,电力热力源,电力供应,柴油,燃油锅炉,BC,constant,0.01,g/kg燃料,,附录D 表D.1,44
D-ES-DIESEL-OILBOILER-OC,电力热力源,电力供应,柴油,燃油锅炉,OC,constant,0.04,g/kg燃料,,附录D 表D.1,44
D-ES-FUELOIL-OILBOILER-CO,电力热力源,电力供应,燃料油,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录D 表D.1,44
D-ES-FUELOIL-OILBOILER-NOX,电力热力源,电力供应,燃料油,燃油锅炉,NOX,constant,5.84,g/kg燃料,,附录D 表D.1,44
D-ES-FUELOIL-OILBOILER-SO2,电力热力源,电力供应,燃料油,燃油锅炉,SO2,constant,20,g/kg燃料,,附录D 表D.1,44
D-ES-FUELOIL-OILBOILER-VOCS,电力热力源,电力供应,燃料油,燃油锅炉,VOCS,constant,2.88,g/kg燃料,,附录D 表D.1,44
D-ES-FUELOIL-OILBOILER-PM25,电力热力源,电力供应,燃料油,燃油锅炉,PM25,constant,0.67,g/kg燃料,,附录D 表D.1,44
D-ES-FUELOIL-OILBOILER-PM10,电力热力源,电力供应,燃料油,燃油锅炉,PM10,constant,1.03,g/kg燃料,,附录D 表D.1,44
D-ES-FUELOIL-OILBOILER-BC,电力热力源,电力供应,燃料油,燃油锅炉,BC,constant,0.04,g/kg燃料,,附录D 表D.1,44
D-ES-FUELOIL-OILBOILER-OC,电力热力源,电力供应,燃料油,燃油锅炉,OC,constant,0.01,g/kg燃料,,附录D 表D.1,44
D-ES-OTHLIQ-OILBOILER-CO,电力热力源,电力供应,其它液体燃料,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录D 表D.1,44
D-ES-OTHLIQ-OILBOILER-NOX,电力热力源,电力供应,其它液体燃料,燃油锅炉,NOX,constant,5.84,g/kg燃料,,附录D 表D.1,44
D-ES-OTHLIQ-OILBOILER-SO2,电力热力源,电力供应,其它液体燃料,燃油锅炉,SO2,constant,0,g/kg燃料,,附录D 表D.1,44
D-ES-OTHLIQ-OILBOILER-VOCS,电力热力源,电力供应,其它液体燃料,燃油锅炉,VOCS,constant,0.13,g/kg燃料,,附录D 表D.1,44
D-ES-OTHLIQ-OILBOILER-PM25,电力热力源,电力供应,其它液体燃料,燃油锅炉,PM25,constant,0.62,g/kg燃料,,附录D 表D.1,44
D-ES-OTHLIQ-OILBOILER-PM10,电力热力源,电力供应,其它液体燃料,燃油锅炉,PM10,constant,0.85,g/kg燃料,,附录D 表D.1,44
D-ES-OTHLIQ-OILBOILER-BC,电力热力源,电力供应,其它液体燃料,燃油锅炉,BC,constant,0.04,g/kg燃料,,附录D 表D.1,44
D-ES-OTHLIQ-OILBOILER-OC,电力热力源,电力供应,其它液体燃料,燃油锅炉,OC,constant,0.01,g/kg燃料,,附录D 表D.1,44
D-ES-ASPHALT-OILBOILER-CO,电力热力源,电力供应,石油沥青,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录D 表D.1,44
D-ES-ASPHALT-OILBOILER-NOX,电力热力源,电力供应,石油沥青,燃油锅炉,NOX,constant,5.84,g/kg燃料,,附录D 表D.1,44
D-ES-ASPHALT-OILBOILER-SO2,电力热力源,电力供应,石油沥青,燃油锅炉,SO2,constant,0,g/kg燃料,,附录D 表D.1,44
D-ES-ASPHALT-OILBOILER-VOCS,电力热力源,电力供应,石油沥青,燃油锅炉,VOCS,constant,0.13,g/kg燃料,,附录D 表D.1,44
D-ES-ASPHALT-OILBOILER-PM25,电力热力源,电力供应,石油沥青,燃油锅炉,PM25,constant,0.62,g/kg燃料,,附录D 表D.1,44
D-ES-ASPHALT-OILBOILER-PM10,电力热力源,电力供应,石油沥青,燃油锅炉,PM10,constant,0.85,g/kg燃料,,附录D 表D.1,44
D-ES-ASPHALT-OILBOILER-BC,电力热力源,电力供应,石油沥青,燃油锅炉,BC,constant,0.04,g/kg燃料,,附录D 表D.1,44
D-ES-ASPHALT-OILBOILER-OC,电力热力源,电力供应,石油沥青,燃油锅炉,OC,constant,0.01,g/kg燃料,,附录D 表D.1,44
D-ES-PETCOKE-OILBOILER-CO,电力热力源,电力供应,石油焦,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录D 表D.1,44
D-ES-PETCOKE-OILBOILER-NOX,电力热力源,电力供应,石油焦,燃油锅炉,NOX,constant,5.84,g/kg燃料,,附录D 表D.1,44
D-ES-PETCOKE-OILBOILER-SO2,电力热力源,电力供应,石油焦,燃油锅炉,SO2,constant,0,g/kg燃料,,附录D 表D.1,44
D-ES-PETCOKE-OILBOILER-VOCS,电力热力源,电力供应,石油焦,燃油锅炉,VOCS,constant,33,g/kg燃料,,附录D 表D.1,44
D-ES-PETCOKE-OILBOILER-PM25,电力热力源,电力供应,石油焦,燃油锅炉,PM25,constant,0.62,g/kg燃料,,附录D 表D.1,44
D-ES-PETCOKE-OILBOILER-PM10,电力热力源,电力供应,石油焦,燃油锅炉,PM10,constant,0.85,g/kg燃料,,附录D 表D.1,44
