parameter_id,sector,department,fuel,combustion_technology,pollutant,mode,value,unit,capacity_condition,source_section,physical_pdf_page
E-MM-COKE-NA-PM10,工业源,采矿业和制造业,焦炭,不分技术,PM10,coal_particle_balance,,,,附录E 表E.7,54
E-MM-COKE-NA-BC,工业源,采矿业和制造业,焦炭,不分技术,BC,coal_particle_balance,,,,附录E 表E.7,54
E-MM-COKE-NA-OC,工业源,采矿业和制造业,焦炭,不分技术,OC,coal_particle_balance,,,,附录E 表E.7,54
E-MM-OTHCOKE-NA-CO,工业源,采矿业和制造业,其它焦化产品,不分技术,CO,constant,2,g/kg燃料,,附录E 表E.7,54
E-MM-OTHCOKE-NA-NOX,工业源,采矿业和制造业,其它焦化产品,不分技术,NOX,constant,5.84,g/kg燃料,,附录E 表E.7,54
E-MM-OTHCOKE-NA-SO2,工业源,采矿业和制造业,其它焦化产品,不分技术,SO2,constant,0,g/kg燃料,,附录E 表E.7,54
E-MM-OTHCOKE-NA-VOCS,工业源,采矿业和制造业,其它焦化产品,不分技术,VOCS,constant,0.04,g/kg燃料,,附录E 表E.7,54
E-MM-OTHCOKE-NA-PM25,工业源,采矿业和制造业,其它焦化产品,不分技术,PM25,constant,0,g/kg燃料,,附录E 表E.7,54
E-MM-OTHCOKE-NA-PM10,工业源,采矿业和制造业,其它焦化产品,不分技术,PM10,constant,0,g/kg燃料,,附录E 表E.7,54
E-MM-OTHCOKE-NA-BC,工业源,采矿业和制造业,其它焦化产品,不分技术,BC,constant,0,g/kg燃料,,附录E 表E.7,54
E-MM-OTHCOKE-NA-OC,工业源,采矿业和制造业,其它焦化产品,不分技术,OC,constant,0,g/kg燃料,,附录E 表E.7,54
E-MM-COG-GASBOILER-CO,工业源,采矿业和制造业,焦炉煤气,燃气锅炉,CO,constant,1.3,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-COG-GASBOILER-NOX,工业源,采矿业和制造业,焦炉煤气,燃气锅炉,NOX,constant,0.96,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-COG-GASBOILER-SO2,工业源,采矿业和制造业,焦炉煤气,燃气锅炉,SO2,constant,0,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-COG-GASBOILER-VOCS,工业源,采矿业和制造业,焦炉煤气,燃气锅炉,VOCS,constant,0.02,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-COG-GASBOILER-PM25,工业源,采矿业和制造业,焦炉煤气,燃气锅炉,PM25,constant,0.03,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-COG-GASBOILER-PM10,工业源,采矿业和制造业,焦炉煤气,燃气锅炉,PM10,constant,0.03,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-COG-GASBOILER-BC,工业源,采矿业和制造业,焦炉煤气,燃气锅炉,BC,constant,0,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-COG-GASBOILER-OC,工业源,采矿业和制造业,焦炉煤气,燃气锅炉,OC,constant,0,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
