parameter_id,sector,department,fuel,combustion_technology,pollutant,mode,value,unit,capacity_condition,source_section,physical_pdf_page
E-MM-ASPHALT-OILBOILER-VOCS,工业源,采矿业和制造业,石油沥青,燃油锅炉,VOCS,constant,0.13,g/kg燃料,,附录E 表E.7,55
E-MM-ASPHALT-OILBOILER-PM25,工业源,采矿业和制造业,石油沥青,燃油锅炉,PM25,constant,0.62,g/kg燃料,,附录E 表E.7,55
E-MM-ASPHALT-OILBOILER-PM10,工业源,采矿业和制造业,石油沥青,燃油锅炉,PM10,constant,0.85,g/kg燃料,,附录E 表E.7,55
E-MM-ASPHALT-OILBOILER-BC,工业源,采矿业和制造业,石油沥青,燃油锅炉,BC,constant,0.04,g/kg燃料,,附录E 表E.7,55
E-MM-ASPHALT-OILBOILER-OC,工业源,采矿业和制造业,石油沥青,燃油锅炉,OC,constant,0.01,g/kg燃料,,附录E 表E.7,55
E-MM-PETCOKE-OILBOILER-CO,工业源,采矿业和制造业,石油焦,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录E 表E.7,55
E-MM-PETCOKE-OILBOILER-NOX,工业源,采矿业和制造业,石油焦,燃油锅炉,NOX,constant,5.84,g/kg燃料,,附录E 表E.7,55
E-MM-PETCOKE-OILBOILER-SO2,工业源,采矿业和制造业,石油焦,燃油锅炉,SO2,constant,0,g/kg燃料,,附录E 表E.7,55
E-MM-PETCOKE-OILBOILER-VOCS,工业源,采矿业和制造业,石油焦,燃油锅炉,VOCS,constant,33,g/kg燃料,,附录E 表E.7,55
E-MM-PETCOKE-OILBOILER-PM25,工业源,采矿业和制造业,石油焦,燃油锅炉,PM25,constant,0.62,g/kg燃料,,附录E 表E.7,55
E-MM-PETCOKE-OILBOILER-PM10,工业源,采矿业和制造业,石油焦,燃油锅炉,PM10,constant,0.85,g/kg燃料,,附录E 表E.7,55
E-MM-PETCOKE-OILBOILER-BC,工业源,采矿业和制造业,石油焦,燃油锅炉,BC,constant,0.04,g/kg燃料,,附录E 表E.7,55
E-MM-PETCOKE-OILBOILER-OC,工业源,采矿业和制造业,石油焦,燃油锅炉,OC,constant,0.01,g/kg燃料,,附录E 表E.7,55
E-MM-OTHPET-OILBOILER-CO,工业源,采矿业和制造业,其它石油制品,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录E 表E.7,55
E-MM-OTHPET-OILBOILER-NOX,工业源,采矿业和制造业,其它石油制品,燃油锅炉,NOX,constant,5.84,g/kg燃料,,附录E 表E.7,55
E-MM-OTHPET-OILBOILER-SO2,工业源,采矿业和制造业,其它石油制品,燃油锅炉,SO2,constant,0,g/kg燃料,,附录E 表E.7,55
E-MM-OTHPET-OILBOILER-VOCS,工业源,采矿业和制造业,其它石油制品,燃油锅炉,VOCS,constant,0.13,g/kg燃料,,附录E 表E.7,55
E-MM-OTHPET-OILBOILER-PM25,工业源,采矿业和制造业,其它石油制品,燃油锅炉,PM25,constant,0.62,g/kg燃料,,附录E 表E.7,55
E-MM-OTHPET-OILBOILER-PM10,工业源,采矿业和制造业,其它石油制品,燃油锅炉,PM10,constant,0.85,g/kg燃料,,附录E 表E.7,55
E-MM-OTHPET-OILBOILER-BC,工业源,采矿业和制造业,其它石油制品,燃油锅炉,BC,constant,0.04,g/kg燃料,,附录E 表E.7,55
E-MM-OTHPET-OILBOILER-OC,工业源,采矿业和制造业,其它石油制品,燃油锅炉,OC,constant,0.01,g/kg燃料,,附录E 表E.7,55
