source_id,target,pollutant,status,method,activity_value,activity_unit,parameter_value,parameter_unit,control_method,control_efficiency,generation_t,emission_t,standard_reference,reason_code
SRC-PWR-000005,POWER,NH3,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000006,POWER,SO2,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,1.82076,1.82076,既有专家主导型清单编制流程,
SRC-PWR-000006,POWER,NOx,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,6.145065000000001,3.5641377000000007,既有专家主导型清单编制流程,
SRC-PWR-000006,POWER,CO,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,5.917470000000001,5.917470000000001,既有专家主导型清单编制流程,
SRC-PWR-000006,POWER,VOC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.136557,0.136557,既有专家主导型清单编制流程,
SRC-PWR-000006,POWER,PM10,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.136557,0.136557,既有专家主导型清单编制流程,
SRC-PWR-000006,POWER,PM2.5,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000006,POWER,BC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000006,POWER,OC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.091038,0.091038,既有专家主导型清单编制流程,
SRC-PWR-000006,POWER,NH3,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000007,POWER,SO2,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,1.21872,1.21872,既有专家主导型清单编制流程,
SRC-PWR-000007,POWER,NOx,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,4.113180000000001,2.3856444000000008,既有专家主导型清单编制流程,
SRC-PWR-000007,POWER,CO,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,3.96084,3.96084,既有专家主导型清单编制流程,
SRC-PWR-000007,POWER,VOC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.091404,0.091404,既有专家主导型清单编制流程,
SRC-PWR-000007,POWER,PM10,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.091404,0.091404,既有专家主导型清单编制流程,
SRC-PWR-000007,POWER,PM2.5,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000007,POWER,BC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000007,POWER,OC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.060936,0.060936,既有专家主导型清单编制流程,
SRC-PWR-000007,POWER,NH3,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000008,POWER,SO2,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,1.8342,1.8342,既有专家主导型清单编制流程,
SRC-PWR-000008,POWER,NOx,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,6.190425,3.5904465000000005,既有专家主导型清单编制流程,
SRC-PWR-000008,POWER,CO,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,5.96115,5.96115,既有专家主导型清单编制流程,
SRC-PWR-000008,POWER,VOC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.137565,0.137565,既有专家主导型清单编制流程,
SRC-PWR-000008,POWER,PM10,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.137565,0.137565,既有专家主导型清单编制流程,
SRC-PWR-000008,POWER,PM2.5,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000008,POWER,BC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000008,POWER,OC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.09171000000000001,0.09171000000000001,既有专家主导型清单编制流程,
SRC-PWR-000008,POWER,NH3,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000009,POWER,SO2,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,1.85,1.85,既有专家主导型清单编制流程,
SRC-PWR-000009,POWER,NOx,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,6.24375,3.6213750000000005,既有专家主导型清单编制流程,
SRC-PWR-000009,POWER,CO,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,6.0125,6.0125,既有专家主导型清单编制流程,
SRC-PWR-000009,POWER,VOC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.13875,0.13875,既有专家主导型清单编制流程,
SRC-PWR-000009,POWER,PM10,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.13875,0.13875,既有专家主导型清单编制流程,
SRC-PWR-000009,POWER,PM2.5,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000009,POWER,BC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000009,POWER,OC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0925,0.0925,既有专家主导型清单编制流程,
SRC-PWR-000009,POWER,NH3,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000010,POWER,SO2,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,1.69816,1.69816,既有专家主导型清单编制流程,
SRC-PWR-000010,POWER,NOx,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,5.73129,3.3241482000000007,既有专家主导型清单编制流程,
SRC-PWR-000010,POWER,CO,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,5.51902,5.51902,既有专家主导型清单编制流程,
SRC-PWR-000010,POWER,VOC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.127362,0.127362,既有专家主导型清单编制流程,
SRC-PWR-000010,POWER,PM10,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.127362,0.127362,既有专家主导型清单编制流程,
SRC-PWR-000010,POWER,PM2.5,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000010,POWER,BC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000010,POWER,OC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.084908,0.084908,既有专家主导型清单编制流程,
SRC-PWR-000010,POWER,NH3,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000011,POWER,SO2,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,1.80908,1.80908,既有专家主导型清单编制流程,
SRC-PWR-000011,POWER,NOx,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,6.105645000000001,3.5412741000000008,既有专家主导型清单编制流程,
SRC-PWR-000011,POWER,CO,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,5.87951,5.87951,既有专家主导型清单编制流程,
SRC-PWR-000011,POWER,VOC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.135681,0.135681,既有专家主导型清单编制流程,
SRC-PWR-000011,POWER,PM10,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.135681,0.135681,既有专家主导型清单编制流程,
SRC-PWR-000011,POWER,PM2.5,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000011,POWER,BC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000011,POWER,OC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.09045399999999998,0.09045399999999998,既有专家主导型清单编制流程,
SRC-PWR-000011,POWER,NH3,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000012,POWER,SO2,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,1.80672,1.80672,既有专家主导型清单编制流程,
SRC-PWR-000012,POWER,NOx,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,6.09768,6.09768,既有专家主导型清单编制流程,
SRC-PWR-000012,POWER,CO,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,5.871840000000001,5.871840000000001,既有专家主导型清单编制流程,
SRC-PWR-000012,POWER,VOC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.135504,0.135504,既有专家主导型清单编制流程,
SRC-PWR-000012,POWER,PM10,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.135504,0.135504,既有专家主导型清单编制流程,
SRC-PWR-000012,POWER,PM2.5,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000012,POWER,BC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000012,POWER,OC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.090336,0.090336,既有专家主导型清单编制流程,
SRC-PWR-000012,POWER,NH3,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000013,POWER,SO2,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,2.68984,2.68984,既有专家主导型清单编制流程,
SRC-PWR-000013,POWER,NOx,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,9.078210000000002,5.265361800000002,既有专家主导型清单编制流程,
SRC-PWR-000013,POWER,CO,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,8.74198,8.74198,既有专家主导型清单编制流程,
SRC-PWR-000013,POWER,VOC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.201738,0.201738,既有专家主导型清单编制流程,
SRC-PWR-000013,POWER,PM10,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.201738,0.201738,既有专家主导型清单编制流程,
SRC-PWR-000013,POWER,PM2.5,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000013,POWER,BC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000013,POWER,OC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.134492,0.134492,既有专家主导型清单编制流程,
SRC-PWR-000013,POWER,NH3,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000014,POWER,SO2,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.03,0.03,既有专家主导型清单编制流程,
SRC-PWR-000014,POWER,NOx,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,41.0,5.125,既有专家主导型清单编制流程,
SRC-PWR-000014,POWER,CO,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,13.0,13.0,既有专家主导型清单编制流程,
SRC-PWR-000014,POWER,VOC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.3,0.3,既有专家主导型清单编制流程,
SRC-PWR-000014,POWER,PM10,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.3,0.3,既有专家主导型清单编制流程,
SRC-PWR-000014,POWER,PM2.5,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000014,POWER,BC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000014,POWER,OC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.2,0.2,既有专家主导型清单编制流程,
SRC-PWR-000014,POWER,NH3,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000015,POWER,SO2,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.03,0.03,既有专家主导型清单编制流程,
SRC-PWR-000015,POWER,NOx,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,41.0,5.125,既有专家主导型清单编制流程,
SRC-PWR-000015,POWER,CO,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,13.0,13.0,既有专家主导型清单编制流程,
SRC-PWR-000015,POWER,VOC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.3,0.3,既有专家主导型清单编制流程,
SRC-PWR-000015,POWER,PM10,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.3,0.3,既有专家主导型清单编制流程,
SRC-PWR-000015,POWER,PM2.5,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000015,POWER,BC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000015,POWER,OC,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.2,0.2,既有专家主导型清单编制流程,
SRC-PWR-000015,POWER,NH3,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.0,0.0,既有专家主导型清单编制流程,
SRC-PWR-000016,POWER,SO2,calculated,expert_excel_workbook,,,,,既有专家主导型工作簿,,0.03,0.03,既有专家主导型清单编制流程,
