variant,target,pollutant,expected_status,item_count,generation_sum_t,emission_sum_t,empirical_assumption_item_count
B2,INDUSTRIAL,PM10,not_involved,18,0,0,0
B2,INDUSTRIAL,PM10,source_data_invalid,4,0,0,0
B2,INDUSTRIAL,PM2.5,calculated,3909,81469.4024268913,74131.485598873,1799
B2,INDUSTRIAL,PM2.5,information_insufficient,115,0,0,4
B2,INDUSTRIAL,PM2.5,not_involved,18,0,0,0
B2,INDUSTRIAL,PM2.5,source_data_invalid,4,0,0,0
B2,INDUSTRIAL,SO2,calculated,3911,107701.24106492,101735.395456048,1800
B2,INDUSTRIAL,SO2,information_insufficient,115,0,0,4
B2,INDUSTRIAL,SO2,not_involved,18,0,0,0
B2,INDUSTRIAL,SO2,source_data_invalid,2,0,0,0
B2,INDUSTRIAL,VOC,calculated,3915,53156.5303597,53156.5303597,1784
B2,INDUSTRIAL,VOC,information_insufficient,111,0,0,3
B2,INDUSTRIAL,VOC,not_involved,18,0,0,0
B2,INDUSTRIAL,VOC,source_data_invalid,2,0,0,0
B2,POWER,BC,calculated,347,2007.13385480463,949.717650701931,159
B2,POWER,BC,information_insufficient,206,0,0,26
B2,POWER,BC,not_involved,56,0,0,0
B2,POWER,BC,source_data_invalid,6,0,0,0
B2,POWER,CO,calculated,352,313614.90738336,313614.90738336,27
B2,POWER,CO,information_insufficient,203,0,0,14
B2,POWER,CO,not_involved,56,0,0,0
B2,POWER,CO,source_data_invalid,4,0,0,0
B2,POWER,NH3,calculated,461,13028.1574016,13028.1574016,366
B2,POWER,NH3,information_insufficient,130,0,0,0
B2,POWER,NH3,not_involved,20,0,0,0
B2,POWER,NH3,source_data_invalid,4,0,0,0
B2,POWER,NOx,calculated,352,1130575.08169829,627706.306136703,43
B2,POWER,NOx,information_insufficient,203,0,0,22
B2,POWER,NOx,not_involved,56,0,0,0
B2,POWER,NOx,source_data_invalid,4,0,0,0
B2,POWER,OC,calculated,347,10.23380977,8.4726855961,159
B2,POWER,OC,information_insufficient,206,0,0,26
B2,POWER,OC,not_involved,56,0,0,0
B2,POWER,OC,source_data_invalid,6,0,0,0
B2,POWER,PM10,calculated,347,3871577.45759225,1793165.00415658,159
B2,POWER,PM10,information_insufficient,206,0,0,26
B2,POWER,PM10,not_involved,56,0,0,0
B2,POWER,PM10,source_data_invalid,6,0,0,0
B2,POWER,PM2.5,calculated,347,999269.022169805,473550.348867984,159
B2,POWER,PM2.5,information_insufficient,206,0,0,26
B2,POWER,PM2.5,not_involved,56,0,0,0
B2,POWER,PM2.5,source_data_invalid,6,0,0,0
B2,POWER,SO2,calculated,349,1567208.14282966,879865.493013139,161
B2,POWER,SO2,information_insufficient,206,0,0,26
B2,POWER,SO2,not_involved,56,0,0,0
B2,POWER,SO2,source_data_invalid,4,0,0,0
B2,POWER,VOC,calculated,352,16603.20143343,16603.20143343,164
B2,POWER,VOC,information_insufficient,203,0,0,26
B2,POWER,VOC,not_involved,56,0,0,0
B2,POWER,VOC,source_data_invalid,4,0,0,0
