源编号,源类,年份,行业代码,行业名称,设备类型,排口编号,核算项数,分类理由
SRC-RAW-92EE47E32C7D32E81B42,工业锅炉,2022,1399,其他未列明农副食品加工,燃油锅炉,DA001,9,[]
SRC-RAW-780A622A337FEA858468,工业锅炉,2022,1411,糕点、面包制造,燃油锅炉,DA001,9,[]
SRC-RAW-E092AAB48D319958C153,工业锅炉,2022,1523,果菜汁及果菜汁饮料制造,燃气锅炉,DA003,9,[]
SRC-RAW-87D71699A3256E76D3BB,工业锅炉,2022,1469,其他调味品、发酵制品制造,燃气锅炉,DA001,9,[]
SRC-RAW-DAAA241AFE2F07E0C5F3,工业锅炉,2022,2029,其他人造板制造,燃气锅炉,DA002,9,[]
SRC-RAW-501767237332FCB0D99D,工业锅炉,2022,1811,运动机织服装制造,燃油锅炉,DA001,9,[]
SRC-RAW-FD9F44A4B3FD1A7132B3,工业锅炉,2022,2239,其他纸制品制造,燃气锅炉,DA001,9,[]
SRC-RAW-DA6A52535170DE5A2335,工业锅炉,2022,1411,糕点、面包制造,燃气锅炉,DA001,9,[]
SRC-RAW-CA8AA1AC764CA11EE743,工业锅炉,2022,2740,中成药生产,燃气锅炉,DA001,9,[]
SRC-RAW-71EED5ED72688E94A72B,工业锅炉,2022,2929,塑料零件及其他塑料制品制造,燃气锅炉,DA001,9,[]
SRC-RAW-66894E8DAE72D7969F4B,工业锅炉,2022,1499,其他未列明食品制造,燃气锅炉,DA007,9,[]
SRC-RAW-38648E7B2E99CC4C0E1E,工业锅炉,2022,1499,其他未列明食品制造,燃气锅炉,DA007,9,[]
SRC-RAW-5AFE5DAA2A275532B531,工业锅炉,2022,1499,其他未列明食品制造,燃气锅炉,DA007,9,[]
SRC-RAW-C945DAF6C00913C024DA,工业锅炉,2022,1329,其他饲料加工,燃气锅炉,DA001,9,[]
SRC-RAW-1B0D1FE676B4901FCA6A,工业锅炉,2022,2441,球类制造,燃油锅炉,DA206,9,[]
SRC-RAW-C5CD854EA850DEB195F2,工业锅炉,2022,2441,球类制造,燃油锅炉,DA208,9,[]
SRC-RAW-8C20BF245840233B57D8,工业锅炉,2022,2921,塑料薄膜制造,燃气锅炉,DA002,9,[]
SRC-RAW-BACF60A99A763B43FE87,工业锅炉,2022,2921,塑料薄膜制造,燃气锅炉,DA001,9,[]
SRC-RAW-3F5381890316B5C27623,工业锅炉,2022,1752,化纤织物染整精加工,燃气锅炉,DA008,9,[]
SRC-RAW-3C661D9992E593DBBD45,工业锅炉,2022,1752,化纤织物染整精加工,燃气锅炉,DA008,9,[]
SRC-RAW-92E72E26DE29825FDA4B,工业锅炉,2022,1752,化纤织物染整精加工,燃气锅炉,DA001,9,[]
SRC-RAW-7D50B80CF56A521240CC,工业锅炉,2022,1752,化纤织物染整精加工,燃气锅炉,DA002,9,[]
SRC-RAW-33D8E542015F1EF1FA3C,工业锅炉,2022,1830,服饰制造,燃气锅炉,DA001,9,[]
SRC-RAW-934C722DA5B37B8C1AE7,火电热力,2022,4417,生物质能发电,燃气轮机,DA001,9,[]
SRC-RAW-1AB2981F39D95390A9AA,火电热力,2022,4417,生物质能发电,燃气轮机,DA002,9,[]
SRC-RAW-7DB401C6AD1D015503BE,火电热力,2022,4417,生物质能发电,燃气轮机,DA003,9,[]
SRC-RAW-DEDC06563A4709A8CA20,火电热力,2022,4417,生物质能发电,燃气轮机,DA004,9,[]
SRC-RAW-63797BBB1AC088E3D3DC,火电热力,2022,4417,生物质能发电,燃气轮机,DA005,9,[]
SRC-RAW-3408C0B209FC6941D368,火电热力,2022,4417,生物质能发电,燃气轮机,DA006,9,[]
SRC-RAW-69A60B9C430B940055AD,火电热力,2022,4417,生物质能发电,燃气轮机,DA007,9,[]
SRC-RAW-B6C50298B42EDC1FE56E,火电热力,2022,4417,生物质能发电,燃气轮机,DA008,9,[]
SRC-RAW-28BCC7C3AA73FF1E72F3,工业锅炉,2022,2661,化学试剂和助剂制造,燃油锅炉,DA001,9,[]
SRC-RAW-433E71C65B35B9DAAB7F,工业锅炉,2022,2661,化学试剂和助剂制造,燃油锅炉,DA002,9,[]
SRC-RAW-49F19FC879C6F81C6C0C,工业锅炉,2022,1499,其他未列明食品制造,燃气锅炉,DA001,9,[]
SRC-RAW-9BF96FCD85B091DC7A58,工业锅炉,2022,2929,塑料零件及其他塑料制品制造,燃气锅炉,DA001,9,[]
SRC-RAW-710E95F66D8DDA59F975,工业锅炉,2022,1819,其他机织服装制造,燃气锅炉,DA001,9,[]
SRC-RAW-0056EA912208AD169FA8,范围外,2022,3024,轻质建筑材料制造,燃生物质锅炉,DA001,0,[]
SRC-RAW-C3FED10CB6BBD451E035,工业锅炉,2022,2682,化妆品制造,燃油锅炉,DA003,9,[]
SRC-RAW-EB5A9355F03A2B849F18,工业锅炉,2022,2921,塑料薄膜制造,燃气锅炉,DA001,9,[]
SRC-RAW-C1C9959648DD30804413,工业锅炉,2022,2921,塑料薄膜制造,燃气锅炉,DA002,9,[]
SRC-RAW-1B6BC7E97E6036328ECE,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA001,9,[]
SRC-RAW-13C929801C59E9B903F1,范围外,2022,2720,化学药品制剂制造,,DA002,0,[]
SRC-RAW-7E2B91F4BB3B2C1B3958,工业锅炉,2022,1462,酱油、食醋及类似制品制造,燃油锅炉,DA001,9,[]
SRC-RAW-77D30DACB356604725DF,工业锅炉,2022,2646,密封用填料及类似品制造,燃油锅炉,DA002,9,[]
SRC-RAW-3A6C0ACF430810E9F0A8,工业锅炉,2022,1352,禽类屠宰,燃气锅炉,DA001,9,[]
SRC-RAW-FAB9956AF10BA409914D,工业锅炉,2022,1459,其他罐头食品制造,燃气锅炉,DA002,9,[]
SRC-RAW-9FEAF50C39FC421A8135,工业锅炉,2022,2924,泡沫塑料制造,燃气锅炉,DA001,9,[]
SRC-RAW-6DD39F56F506F14BD408,工业锅炉,2022,2021,胶合板制造,燃气锅炉,DA001,9,[]
SRC-RAW-5183EB78AD2940D86376,工业锅炉,2022,4341,铁路运输设备修理,燃油锅炉,DA001,9,[]
SRC-RAW-4460B7024761FB074EC8,工业锅炉,2022,4341,铁路运输设备修理,燃油锅炉,DA002,9,[]
SRC-RAW-3616010F9D7317CA277E,工业锅炉,2022,2662,专项化学用品制造,燃气锅炉,DA002,9,[]
SRC-RAW-DA67451744D917EA664B,工业锅炉,2022,2662,专项化学用品制造,燃气锅炉,DA002,9,[]
SRC-RAW-A4B6AD7C7EF8A904DE2F,范围外,2022,2921,塑料薄膜制造,燃生物质锅炉,DA007,0,[]
SRC-RAW-97675F7EB454C52FE916,工业锅炉,2022,1352,禽类屠宰,燃气锅炉,DA001,9,[]
SRC-RAW-4D6E0D28FC3DC854E7D6,工业锅炉,2022,1462,酱油、食醋及类似制品制造,燃气锅炉,DA004,9,[]
SRC-RAW-228329289B42E9A4586A,范围外,2022,2661,化学试剂和助剂制造,燃生物质锅炉,DA001,0,[]
SRC-RAW-E7AD12EAC6533209A11F,工业锅炉,2022,1752,化纤织物染整精加工,燃气锅炉,DA014,9,[]
SRC-RAW-2F3180D4EC06282C0F43,工业锅炉,2022,1752,化纤织物染整精加工,燃气锅炉,DA014,9,[]
SRC-RAW-56D5EDA884E813AB9D85,范围外,2022,1752,化纤织物染整精加工,燃生物质锅炉,DA001,0,[]
SRC-RAW-693CF4ADCD90B44D9213,范围外,2022,1752,化纤织物染整精加工,燃生物质锅炉,DA002,0,[]
SRC-RAW-890D673FE0FCD8C4375A,工业锅炉,2022,2924,泡沫塑料制造,燃气锅炉,DA001,9,[]
SRC-RAW-1A9EB9F95CC3A2CCF350,范围外,2022,1340,制糖业,燃生物质锅炉,DA001,0,[]
SRC-RAW-123F145D611A9471D49A,工业锅炉,2022,2921,塑料薄膜制造,燃气锅炉,DA004,9,[]
SRC-RAW-618DC6DB267DE3EA6A29,工业锅炉,2022,2662,专项化学用品制造,燃油锅炉,DA002,9,[]
SRC-RAW-2656CDF99BDB8A2F5140,范围外,2022,2740,中成药生产,,DA002,0,[]
SRC-RAW-6C5DC020A229F7BBD6D9,范围外,2022,2740,中成药生产,,DA002,0,[]
SRC-RAW-A9D1F56646051F91DCBF,工业锅炉,2022,2012,木片加工,燃气锅炉,DA001,9,[]
SRC-RAW-EA6780572AE307FD1150,工业锅炉,2022,2681,肥皂及洗涤剂制造,燃气锅炉,DA001,9,[]
