standard_value,category,source_section,physical_pdf_page
煤粉炉,固体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
流化床炉,固体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
自动炉排层燃炉,固体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
手动炉排层燃炉,固体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
不分技术,通用,附录D 表D.1；附录E 表E.7,43-45；54-55
燃气锅炉,气体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
燃油锅炉,液体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
