experiment,run_id,method,target,input_variant,scale_percent,repetition,D,D_regular,D_exception,D_exception_detection_f1,D_root_cause_macro_jaccard,D_exception_disposition_accuracy,N,N_passed,N_applicable,N_NA,E,EICPI_core_0_100,record_count,seconds_per_record,method_boundary_status,method_boundary_failures,method_boundary_warnings,结果用途
B,B-B0-IND-GEN,generic_tool_agent,INDUSTRIAL,B0,100,1,0.29831334144821386,0.5927656790354239,0.003861003861003861,0.015325670498084292,0.5,0.3463035019455253,0.7783664531579336,94907,121931,2588,,,4046,0.30409634157191945,pass,[],[],机器实验结果
B,B-B0-IND-FULL,full,INDUSTRIAL,B0,100,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110573,110573,2588,,,4046,0.025621462967366466,pass,[],[],机器实验结果
B,B-B0-IND-DET,deterministic_program,INDUSTRIAL,B0,100,1,0.44919618655949156,0.8983923731189831,0.0,0.552112676056338,0.0,0.3852140077821012,0.8679334014632867,95970,110573,2588,,,4046,0.0021828606853670626,not_applicable,[],[],机器实验结果
B,B-B0-IND-HUM,expert_led,INDUSTRIAL,B0,100,,0.47897594077729794,0.9579518815545959,0.0,0.0,,0.31906614785992216,0.8600864330915264,66870,77748,37708,,,4046,11.52,not_applicable,[],[],人工旧交付观察；当前扰动任务交付待补充
B,B-B0-POW-DET,deterministic_program,POWER,B0,100,1,0.4386324894248374,0.8772649788496748,0.0,0.8695652173913044,0.0,0.46511627906976744,0.8186243217363549,10259,12532,4430,,,615,0.013267761247130338,not_applicable,[],[],机器实验结果
B,B-B0-POW-FULL,full,POWER,B0,100,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12532,12532,4430,,,615,0.138072998034181,pass,[],"[""NONEXISTENT_TOOL_CALL_NOT_EXECUTED""]",机器实验结果
B,B-B0-POW-GEN,generic_tool_agent,POWER,B0,100,1,0.12806995391123177,0.25613990782246354,0.0,0.007692307692307692,0.0,0.43023255813953487,0.5671849940729378,8134,14341,4430,,,615,1.8972378014910558,pass,[],[],机器实验结果
B,B-B0-POW-HUM,expert_led,POWER,B0,100,,0.41545068819207287,0.8309013763841457,0.0,0.0,,0.011627906976744186,0.40445000963205546,4199,10382,7750,,,615,11.52,not_applicable,[],[],人工旧交付观察；当前扰动任务交付待补充
B,B-S1-IND-GEN,generic_tool_agent,INDUSTRIAL,S1,100,1,0.29412561921674923,0.5882512384334985,0.0,0.0,,0.10894941634241245,0.7319958888095593,93298,127457,2588,,,4046,0.31934963725481363,pass,[],[],机器实验结果
B,B-S1-IND-FULL,full,INDUSTRIAL,S1,100,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110573,110573,2588,,,4046,0.030931045878645185,pass,[],[],机器实验结果
B,B-S1-IND-DET,deterministic_program,INDUSTRIAL,S1,100,1,0.0,0.0,0.0,0.11945154543341854,0.0,0.0,0.0,0,110573,2588,,,4046,0.00014419374073999675,not_applicable,[],[],机器实验结果
B,B-S1-IND-HUM,expert_led,INDUSTRIAL,S1,100,,0.47897594077729794,0.9579518815545959,0.0,0.0,,0.31906614785992216,0.8600864330915264,66870,77748,37708,,,4046,11.52,not_applicable,[],[],人工旧交付观察；当前扰动任务交付待补充
B,B-S1-POW-FULL,full,POWER,S1,100,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12532,12532,4430,,,615,0.12280711307648448,pass,[],[],机器实验结果
B,B-S1-POW-GEN,generic_tool_agent,POWER,S1,100,1,0.1277858450659764,0.2555716901319528,0.0,0.6229508196721312,0.2918353576248313,0.937984496124031,0.12835226801559002,7739,60295,4430,,,615,2.39494001111063,pass,[],[],机器实验结果
B,B-S1-POW-DET,deterministic_program,POWER,S1,100,1,0.0,0.0,0.0,0.5910652920962199,0.0,0.0,0.0,0,12532,4430,,,615,0.0009395644976378881,not_applicable,[],[],机器实验结果
