方法,源类,运行次数,参照纳入源数,D常规,D异常,D,N,N最小值,N最大值,E,EICPI_core
简单确定性脚本,工业锅炉,3,4046,0.8983923731189831,0,0.44919618655949156,0.8679334014632867,0.8679334014632867,0.8679334014632867,1,76.09953558079722
简单确定性脚本,火电热力,3,615,0.8772649788496748,0,0.4386324894248374,0.8186243217363549,0.8186243217363549,0.8186243217363549,1,74.00398839064172
既有专家主导型流程,工业锅炉,1,4046,0.9579518815545959,0,0.47897594077729794,0.8600864330915264,0.8600864330915264,0.8600864330915264,0,46.86718308540885
既有专家主导型流程,火电热力,1,615,0.8309013763841457,0,0.41545068819207287,0.40445000963205546,0.40445000963205546,0.40445000963205546,0,28.696524423844487
Full完整方法,工业锅炉,3,4046,1,1,1,1,1,1,0.7177248610676843,91.53174583203052
Full完整方法,火电热力,3,615,1,1,1,1,1,1,0.6639955749454378,89.91986724836313
通用工具Agent,工业锅炉,3,4046,0.5948032526404337,0.0038314176245210726,0.2993173351324774,0.7751426047763313,0.7708047994357464,0.8263728159300784,0.4002546534684965,49.613737500863195
通用工具Agent,火电热力,3,615,0.28777069259422944,0,0.14388534629711472,0.1585206070155071,0,0.5761251196935844,0.24837639169295245,18.035500116730336
