observation_id,source_id,target,source_decision_role,human_workbook_row,pollutant,status,method,generation_t,emission_t,activity_value,activity_unit,parameter_value,parameter_unit,control_method,control_efficiency,rule_id,standard_reference,intermediate_calculation,reason_code
SRC-RAW-B744EE7E106839022BD3,SRC-RAW-B744EE7E106839022BD3,INDUSTRIAL,expert_scope,4,PM10,reported_total,expert_led_workbook,0.0381279,0.0381279,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SRC-RAW-B744EE7E106839022BD3,SRC-RAW-B744EE7E106839022BD3,INDUSTRIAL,expert_scope,4,PM2.5,reported_total,expert_led_workbook,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SRC-RAW-B744EE7E106839022BD3,SRC-RAW-B744EE7E106839022BD3,INDUSTRIAL,expert_scope,4,BC,reported_total,expert_led_workbook,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SRC-RAW-B744EE7E106839022BD3,SRC-RAW-B744EE7E106839022BD3,INDUSTRIAL,expert_scope,4,OC,reported_total,expert_led_workbook,0.1525116,0.1525116,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SRC-RAW-B744EE7E106839022BD3,SRC-RAW-B744EE7E106839022BD3,INDUSTRIAL,expert_scope,4,NH3,reported_total,expert_led_workbook,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SRC-RAW-53C0C027EE5030DB33CA,SRC-RAW-53C0C027EE5030DB33CA,INDUSTRIAL,expert_scope,5,SO2,reported_total,expert_led_workbook,0.01518204,0.01518204,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SRC-RAW-53C0C027EE5030DB33CA,SRC-RAW-53C0C027EE5030DB33CA,INDUSTRIAL,expert_scope,5,NOx,reported_total,expert_led_workbook,2.6442053,2.6442053,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SRC-RAW-53C0C027EE5030DB33CA,SRC-RAW-53C0C027EE5030DB33CA,INDUSTRIAL,expert_scope,5,CO,reported_total,expert_led_workbook,1.644721,1.644721,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SRC-RAW-53C0C027EE5030DB33CA,SRC-RAW-53C0C027EE5030DB33CA,INDUSTRIAL,expert_scope,5,VOC,reported_total,expert_led_workbook,0.0379551,0.0379551,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SRC-RAW-53C0C027EE5030DB33CA,SRC-RAW-53C0C027EE5030DB33CA,INDUSTRIAL,expert_scope,5,PM10,reported_total,expert_led_workbook,0.0379551,0.0379551,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SRC-RAW-53C0C027EE5030DB33CA,SRC-RAW-53C0C027EE5030DB33CA,INDUSTRIAL,expert_scope,5,PM2.5,reported_total,expert_led_workbook,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SRC-RAW-53C0C027EE5030DB33CA,SRC-RAW-53C0C027EE5030DB33CA,INDUSTRIAL,expert_scope,5,BC,reported_total,expert_led_workbook,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
