source_id,target,human_scope_decision,human_workbook_row,mapping_method,raw_base102_row,raw_base102_sequence,inventory_year,pseudonymous_entity_id,industry_code,target_equipment_value,enterprise_master_present,enterprise_control_row_count
SRC-RAW-99293698992DBFEBD85E,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3259,21,2022,CREDIT-8E803999280C,4411,,True,3
SRC-RAW-B362DE48C304C7B11A6D,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3260,21,2022,CREDIT-9782BC056389,2740,,True,1
SRC-RAW-9553D10C1698AE1D1153,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3261,22,2022,CREDIT-9782BC056389,2740,,True,1
SRC-RAW-224CEFF16F6656726D13,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3262,21,2022,CREDIT-430EA78572C1,2662,,True,2
SRC-RAW-C35AB45D93D69B1BACC2,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3263,22,2022,CREDIT-430EA78572C1,2662,,True,2
SRC-RAW-D9F21E21BCFCC63AF54E,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3264,21,2022,CREDIT-A0C25E223E94,2661,,True,1
SRC-RAW-429DC285298D860D1CC8,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3265,21,2022,CREDIT-A228A8A9E684,1462,,True,1
SRC-RAW-3B616E29D3A7BCA6F7DC,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3266,21,2022,CREDIT-80F3011C8A88,1712,,True,0
SRC-RAW-F0D82E1F2DA9412EED05,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3267,22,2022,CREDIT-80F3011C8A88,1712,,True,0
SRC-RAW-532FF8A3F1DC875E6CEF,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3268,21,2022,CREDIT-1E112E224C44,3351,,True,2
SRC-RAW-55AF96A9ECDD60B4173A,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3269,21,2022,CREDIT-6F50258AD87E,1419,,True,4
SRC-RAW-FC8DFF1C5C5F7B303978,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3270,21,2022,CREDIT-7ADBFF07C8BB,2710,,True,0
SRC-RAW-92DFAA15C9D0F259F1A4,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3271,22,2022,CREDIT-7ADBFF07C8BB,2710,,True,0
SRC-RAW-D7E1A513B4477548752B,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3272,21,2022,CREDIT-52CF1729D09F,2661,,True,2
SRC-RAW-BB4B6AEF15C371CE49DD,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3273,21,2022,CREDIT-13FE69C54D95,1713,,True,4
SRC-RAW-0F8C21CF33A86CFBBB50,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3274,22,2022,CREDIT-13FE69C54D95,1713,,True,4
SRC-RAW-3E7F8AD1CEA9495CA3A0,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3275,21,2022,CREDIT-478A40A0C6FA,4412,,True,0
SRC-RAW-8F9AB03C17F90CE3377F,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3276,22,2022,CREDIT-478A40A0C6FA,4412,,True,0
SRC-RAW-896E9D06313A98433D90,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3277,21,2022,CREDIT-D93F72FC1E53,1712,,True,1
SRC-RAW-E4F85067A991080E6DCB,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3278,22,2022,CREDIT-D93F72FC1E53,1712,,True,1
SRC-RAW-B08742E5C0734FDEA047,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3279,21,2022,CREDIT-45C3944945F7,2641,,True,2
SRC-RAW-1FE4AE28E51DB584AC22,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3280,21,2022,CREDIT-FF5B990D2103,2710,,True,1
SRC-RAW-70E22AD6A0F08159D739,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3281,21,2022,CREDIT-56C2C298DDA4,1462,,True,0
SRC-RAW-EB56BFC7127C2DCD8E87,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3282,21,2022,CREDIT-0A433D04C449,1752,,True,0
SRC-RAW-C42DB6CF04200D8ABA3A,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3283,21,2022,CREDIT-8B2A92C29BA1,1910,,True,1
SRC-RAW-646972BF5DBEF8784EA3,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3284,21,2022,CREDIT-B3F307EB9784,4430,,True,3
